N,Threads,Time_Seconds,GFLOPS
200,1,0.0040882,3.9137
200,2,0.0022849,7.00249
200,4,0.0018799,8.51109
200,8,0.0013987,11.4392
400,1,0.0349814,3.65909
400,2,0.0225918,5.66577
400,4,0.0184973,6.91993
400,8,0.0071366,17.9357
800,1,0.291926,3.50774
800,2,0.175448,5.83649
800,4,0.10158,10.0807
800,8,0.0674266,15.1869
1200,1,1.05131,3.28733
1200,2,0.646645,5.34451
1200,4,0.362544,9.53264
1200,8,0.211038,16.3762
1600,1,2.84289,2.88158
1600,2,1.67797,4.88208
1600,4,0.959707,8.53594
1600,8,0.492902,16.6199
2000,1,5.82299,2.74773
2000,2,3.40437,4.69984
2000,4,1.93791,8.25632
2000,8,1.17251,13.646
