N,Processes,Time_Seconds,GFLOPS
200,1,0.0051975,3.0784
200,2,0.002086,7.67018
200,4,0.002229,7.17811
200,8,0.0009016,17.7462
400,1,0.0412931,3.09979
400,2,0.0218229,5.8654
400,4,0.0124946,10.2444
400,8,0.0074387,17.2073
800,1,0.274965,3.72411
800,2,0.184869,5.53906
800,4,0.142686,7.17659
800,8,0.104474,9.80149
1200,1,1.12684,3.06698
1200,2,0.71195,4.85427
1200,4,0.475609,7.26647
1200,8,0.497813,6.94236
1600,1,2.94152,2.78496
1600,2,2.12378,3.85727
1600,4,1.40214,5.84249
1600,8,1.3272,6.17239
2000,1,6.59036,2.42779
2000,2,4.4898,3.56363
2000,4,2.4082,6.64395
2000,8,2.40052,6.66522
